IP Address,Computer Name,MAC Address,Network Adapter Company,User Text,Status,Workgroup,Broadcast Address,Port Number,Multiple Packets,Index
192.168.0.233,,EC:FA:BC:10:CE:7D,Espressif Inc.,,Unknown,,,,,48
192.168.0.142,,A0:20:A6:2E:E9:B9,Espressif Inc.,,Unknown,,,,,42
192.168.0.64,,5C:CF:7F:71:F6:A3,Espressif Inc.,,Unknown,,,,,41
192.168.0.59,,EC:FA:BC:11:5D:CA,Espressif Inc.,,Unknown,,,,,40
192.168.0.40,,A0:20:A6:23:85:2F,Espressif Inc.,,Unknown,,,,,39
192.168.0.26,,EC:FA:BC:85:77:79,Espressif Inc.,,Unknown,,,,,37
192.168.0.17,,5C:CF:7F:BC:F0:F4,Espressif Inc.,,Unknown,,,,,36
192.168.0.5,,EC:FA:BC:11:D3:04,Espressif Inc.,,Unknown,,,,,35
192.168.0.70,,00:18:AE:8D:63:C5,"TVT CO.,LTD",,Unknown,,,,,34
192.168.0.230,,C8:63:F1:2F:AC:16,Sony Interactive Entertainment Inc.,,Unknown,,,,,33
192.168.0.1,,1C:3B:F3:D2:1D:2C,"TP-LINK TECHNOLOGIES CO.,LTD.",,Unknown,,,,,32
192.168.0.174,,64:B5:C6:52:93:99,"Nintendo Co.,Ltd",,Unknown,,,,,44
192.168.0.231,,BC:60:A7:77:B6:89,Sony Interactive Entertainment Inc.,,Unknown,,,,,29
192.168.0.228,,4C:CC:6A:4A:E6:2C,"Micro-Star INTL CO., LTD.",,Unknown,,,,,45
192.168.0.229,,A0:20:A6:2E:E7:B6,Espressif Inc.,,Unknown,,,,,46
192.168.0.232,,5C:CF:7F:75:02:F5,Espressif Inc.,,Unknown,,,,,47
192.168.0.116,,8C:3B:AD:9D:FE:8B,NETGEAR,,Unknown,,,,,24
192.168.0.173,,EC:FA:BC:85:6B:50,Espressif Inc.,,Unknown,,,,,43
192.168.0.36,DESKTOP-0814LPF,68:17:29:E0:30:A3,Intel Corporate,,Unknown,WORKGROUP,,,,38
192.168.0.186,GGServer,00:1B:21:BB:15:56,Intel Corporate,,Unknown,,,,,30
192.168.0.240,LINKSYSC2312,14:91:82:A6:90:46,Belkin International Inc.,,Unknown,,,,,23
192.168.0.201,POD-1PC-1,30:9C:23:02:F0:F9,"Micro-Star INTL CO., LTD.",,Unknown,GLITCH,,,,9
192.168.0.202,Pod-1PC-2,30:9C:23:02:F0:A8,"Micro-Star INTL CO., LTD.",,Unknown,,,,,7
192.168.0.203,Pod-1PC-3,30:9C:23:02:F5:4F,"Micro-Star INTL CO., LTD.",,Unknown,,,,,5
192.168.0.204,POD-1PC-4,30:9C:23:06:4C:24,"Micro-Star INTL CO., LTD.",,Unknown,GLITCH,,,,3
192.168.0.205,Pod-1PC-5,30:9C:23:06:49:9D,"Micro-Star INTL CO., LTD.",,Unknown,,,,,1
192.168.0.206,Pod-1PC-6,30:9C:23:02:F0:E6,"Micro-Star INTL CO., LTD.",,Unknown,,,,,2
192.168.0.207,Pod-1PC-7,30:9C:23:02:F1:69,"Micro-Star INTL CO., LTD.",,Unknown,,,,,8
192.168.0.208,POD-2PC-1,30:9C:23:02:F1:55,"Micro-Star INTL CO., LTD.",,Unknown,GLITCH,,,,15
192.168.0.209,POD-2PC-2,30:9C:23:02:F1:0D,"Micro-Star INTL CO., LTD.",,Unknown,GLITCH,,,,4
192.168.0.210,POD-2PC-3,30:9C:23:02:F0:A2,"Micro-Star INTL CO., LTD.",,Unknown,GLITCH,,,,14
192.168.0.211,POD-2PC-4,30:9C:23:02:F1:4A,"Micro-Star INTL CO., LTD.",,Unknown,GLITCH,,,,6
192.168.0.212,POD-2PC-5,30:9C:23:02:F0:D1,"Micro-Star INTL CO., LTD.",,Unknown,GLITCH,,,,10
192.168.0.213,Pod-2PC-6,30:9C:23:02:F1:16,"Micro-Star INTL CO., LTD.",,Unknown,,,,,11
192.168.0.214,Pod-2PC-7,30:9C:23:02:F0:8C,"Micro-Star INTL CO., LTD.",,Unknown,,,,,16
192.168.0.215,Pod-3PC-1,30:9C:23:02:F0:F8,"Micro-Star INTL CO., LTD.",,Unknown,,,,,21
192.168.0.216,Pod-3PC-2,30:9C:23:02:F3:04,"Micro-Star INTL CO., LTD.",,Unknown,,,,,17
192.168.0.217,Pod-3PC-3,30:9C:23:06:49:D6,"Micro-Star INTL CO., LTD.",,Unknown,,,,,18
192.168.0.218,Pod-3PC-4,30:9C:23:02:F0:B8,"Micro-Star INTL CO., LTD.",,Unknown,,,,,19
192.168.0.219,Pod-3PC-5,30:9C:23:02:F0:F6,"Micro-Star INTL CO., LTD.",,Unknown,,,,5,20
192.168.0.220,POD-3PC-6,30:9C:23:06:49:60,"Micro-Star INTL CO., LTD.",,Unknown,GLITCH,,,,12
192.168.0.221,Pod-3PC-7,30:9C:23:06:4A:CC,"Micro-Star INTL CO., LTD.",,Unknown,,,,5,13
192.168.0.121,VR-RED,00:28:F8:D2:AA:78,Intel Corporate,,Unknown,,,,,49
192.168.0.222,XBOX-1,58:82:A8:54:CB:A0,Microsoft,,Unknown,,,,,25
192.168.0.223,XBOX-2,C0:33:5E:8F:51:70,Microsoft,,Unknown,,,,,22
192.168.0.224,XBOX-3,C0:33:5E:DC:44:8B,Microsoft,,Unknown,,,,,27
192.168.0.225,XBOX-4,C0:33:5E:A2:8F:A9,Microsoft,,Unknown,,,,,26
192.168.0.226,XBOX-5,30:59:B7:E1:CA:84,Microsoft,,Unknown,,,,,31
192.168.0.227,XBOX-6,58:82:A8:2A:CA:37,Microsoft,,Unknown,,,,,28
